game,tags,score,picture,introduction
任天狗：腊肠犬与它的朋友 nintendogs ダックス&フレンズ,模拟,7.6,https://img1.doubanio.com/lpic/s28886969.jpg,《任天狗》是由任天堂发行的虚拟宠物游戏软件，是掌上游戏机史上第一部被《FAMI通》评为40分满分的游戏软件，共有三种版本可选，分别为腊肠狗、吉娃娃、柴犬.。
神秘海域4：盗贼末路 Uncharted 4: A Thief's End,"射击, 冒险, 动作",9.4,https://img1.doubanio.com/lpic/s29294297.jpg,"《神秘海域4：盗贼末路》（英语：Uncharted 4: A Thief's End）是一款即将在PlayStation 4游戏主机上发行的独占动作冒险游戏。游戏由顽皮狗开发、索尼电脑娱乐发行，游戏将于2016年5月10日发售。"
女神异闻录5 ペルソナ5,角色扮演,9.5,https://img3.doubanio.com/lpic/s28693106.jpg,"《女神异闻录5》（日语：ペルソナ5，英语：Persona 5）是Atlus开发并发行的角色扮演游戏，对应机种为PS3和PS4。本作是《女神异闻录系列》的第五部主要作品，也是首次在标题上取消了“真·女神转生”的名字。本次游戏的主题颜色为“红色”。游戏中的动画过场部分是由Production I.G制作。《女神异闻录5》在日本于2016年9月15日发行，游戏中文版于2017年3月23日发售。"
大神,"冒险, 动作",9.3,https://img1.doubanio.com/lpic/s9090978.jpg,"《大神》是由知名游戏创作者神谷英树领军制作、2006年4月在PS2推出的动作冒险游戏，以日本古代神话与民间传说为题材，采用独特水墨风格3D 绘图，被称作PS2时代最辉煌的游戏之一。"
生化危机：启示录 Resident Evil: Revelations,"射击, 动作冒险",7.9,https://img3.doubanio.com/lpic/s11138105.jpg,这款全新作品会描述成在“生化危机5”中登场，系列主角克里斯和吉尔等人隶属的反生化部队BSAA当初刚加入时的故事。本作可说回归了该系列的园丁，开发时的目标是要作出能让玩家感到更恐怖的架构。以搜索有怪物徘徊的幽灵船为开端，玩家将会几度陷入可怕的噩梦当中。
王国之心2 Kingdom Hearts II,"角色扮演, 动作冒险",8.9,https://img1.doubanio.com/lpic/s28070669.jpg,《王国之心2》是SQUARE ENIX与迪士尼旗下的Buena Vista Games共同制作的A.RPG大作，是《王国之心》的正统续作，对应游戏平台为PS2。著名歌手宇多田光继前作之后，再读为《王国之心2》献唱主题曲。
来吧 动物之森 とびだせ どうぶつの森,"模拟, 角色扮演",9.2,https://img1.doubanio.com/lpic/s29871168.jpg,《來吧！動物之森》（日語：とびだせ どうぶつの森，英語：Animal Crossing: New Leaf；美版又譯「動物之森：新葉」）是一款由任天堂情報開發本部開發並由任天堂發行在任天堂3DS上的生命模擬遊戲。本作是動物之森系列的第6款作品，也是掌機平台上的第2款作品。
怪物猎人P3 モンスターハンターポータブル 3rd,"角色扮演, 动作冒险",9.2,https://img3.doubanio.com/lpic/s29342185.jpg,怪物猎人 携带版3rd》发布消息出现至今，各种激动人心的情报接踵而至，在《3rd》中，全新登场的猎人据点“结云村”、最全的12种武器图片资料、全新设计的狩猎场“溪流”、大图欣赏新加入的三种怪物、艾露猫的全新要素。应有尽有，让苦等的诸位多玩猎人一解等待之苦，通过这篇报道每位玩家都能为自己勾勒出心中的《怪物猎人 携带版3rd》，那么~ 一起来吧！
荒野大镖客：救赎 Red Dead Redemption,"射击, 角色扮演, 冒险, 动作",9.4,https://img1.doubanio.com/lpic/s11168247.jpg,"Red Dead Redemption is an open world action-adventure Western video game, developed by Rockstar San Diego and published by Rockstar Games. It was released for the PlayStation 3 and Xbox 360 on May 18, 2010. It is a spiritual successor to 2004's Red Dead Revolver.[8] Most of the game's story takes place in the year 1911, during the decline of the American Old West. The game follows John Marston, a former outlaw, while he sets out to hunt down his former gang members. Marston's wife and son are taken hostage by the government in ransom for his services as a bounty hunter. Having no other choice, he sets out to bring his three former gang members to justice."
黑色洛城 L.A. Noire,"冒险, 动作",8.7,https://img3.doubanio.com/lpic/s9122174.jpg,《黑色洛城（LA Noire）》是位于澳大利亚的Team Bondi开发，由曾《黑色洛城》各版封面(8张)经发行GTA系列的Rockstar Games代理发行。《黑色洛城》是以1947年后半洛杉矶为背景的警匪侦探类动作冒险游戏。玩家将在游戏中扮演刚从二战军旅生涯复员的主角Cole Phelps（科尔·菲尔普斯），与搭档Stefan Bekowsky（斯特凡·贝科夫斯基）一起奔波于各式各样的犯罪现场，解决繁华洛城层出不穷的犯罪事件。
勇者斗恶龙8：天空、碧海、大地与被诅咒的公主 ドラゴンクエストVIII 空と海と大地と呪われし姫君,"角色扮演, 冒险, 策略",8.6,https://img1.doubanio.com/lpic/s28421548.jpg,《勇者斗恶龙8：天空、碧海、大地与被呪咒的公主》（日文：ドラゴンクエストVIII 空と海と大地と呪われし姫君、英文：Dragon Quest VIII: Journey of the Cursed King、简介：DQ8）是由SQUARE·ENIX发行，LEVEL-5制作。在日本《勇者斗恶龙》一直素有“国民RPG”之称。本作的副标题很好地诠释了游戏中壮大的冒险，为了解救陷入诅咒的王城，国王和公主以及勇者踏上了旅程。DQ8采用全3D、战斗中第三人称视角、蓄气、炼金、技能系统等等全新的系统踏上PS2平台，次年发售的美版中添加的语言更好地为各位玩家展现游戏中曲折的剧情。
铁拳TT2,格斗,8.3,https://img1.doubanio.com/lpic/s24627188.jpg,《铁拳TT2(Tekken Tag Tournament 2)》是以双人组队战为卖点的《铁拳TT》系列续作，在本作中，能将角色攻击力提升的“红血系统”依然存在。只要满足特定条件，就能让自己的搭档以“红血状态”出场。另外，根据不同的角色组合，发动“红血状态”的难度会略有不同，而且特定的组合会有特定的胜利演出。
战争机器3 Gears of War 3,"射击, 动作",8.7,https://img3.doubanio.com/lpic/s28347681.jpg,"在《战争机器2》中，人类最后的据点贾辛国已经被摧毁。《战争机器3》中人类居住的地方是一个漂浮在海上的巨大移动平台，它由“鸦巢”级航空母舰与另外多艘大型舰船捆绑而成。宛如一个海上大型村庄。游戏的开始就是马库斯在昏迷中醒来，而此时的状况非常危急，人类最后的基地正在遭受着敌人的疯狂进攻"
生化危机6 Resident Evil 6,"射击, 角色扮演, 冒险, 动作",7.6,https://img3.doubanio.com/lpic/s28265966.jpg,生化危机系列是由日本CAPCOM公司推出的电子游戏系列作品，创始人为三上真司。
铁拳3 Tekken 3,"格斗, 动作",8.2,https://img3.doubanio.com/lpic/s29884460.jpg,《铁拳3》的故事发生在距第二届铁拳大会闭幕15年后，这时的三岛财阀在三岛平八的领导下，势力扩展到了世界的没一个角落。在美洲的一个原始丛林中，铁拳众部队发现了一个古老的印第安遗迹，不幸的是，一个恐怖的身影从中站了起来——斗神，被派遣到那里的整个铁拳众部队被全灭了！当三岛平八得知这个消息后，为这个未知生命体震惊，但平八更加兴奋——欲得到这强大的力量！不久后全世界一些格斗家相继被袭丧命，风间准为保护年幼的仁，命丧斗神之手！
塞尔达传说：幻影沙漏 ゼルダの伝説 夢幻の砂時計,动作冒险,8.8,https://img3.doubanio.com/lpic/s29438143.jpg,开发 任天堂
